state,county,town,0
CT,Fairfield,Danbury,7
CT,Fairfield,Fairfield,20
CT,Fairfield,Greenwich,6
CT,Fairfield,Huntington,5
CT,Fairfield,Norwalk,8
CT,Fairfield,Reading,1
CT,Fairfield,Ridgefield,1
CT,Fairfield,Stamford,24
CT,Fairfield,Stratford,9
CT,Fairfield,Weston,1
CT,Hartford,Berlin,4
CT,Hartford,Bristol,1
CT,Hartford,East Hartford,10
CT,Hartford,East Windsor,8
CT,Hartford,Enfield,2
CT,Hartford,Farmington,24
CT,Hartford,Glastonbury,12
CT,Hartford,Granby,1
CT,Hartford,Hartford,137
CT,Hartford,Newington,2
CT,Hartford,Suffield,13
CT,Hartford,Symsbury,2
CT,Hartford,Wethersfield,47
CT,Hartford,Windsor,28
CT,Litchfield,Canaan,3
CT,Litchfield,Cornwall,3
CT,Litchfield,Goshen,8
CT,Litchfield,Hartford,2
CT,Litchfield,Litchfield,2
CT,Litchfield,New Milford,11
CT,Litchfield,Norfolk,1
CT,Litchfield,Roxbury,2
CT,Litchfield,Salisbury,1
CT,Litchfield,Sharon,3
CT,Litchfield,Torrington,4
CT,Litchfield,Watertown,1
CT,Litchfield,Woodbury,3
CT,Middlesex,Chatham,11
CT,Middlesex,Durham,1
CT,Middlesex,Haddam,11
CT,Middlesex,Killingworth,15
CT,Middlesex,Middletown,31
CT,Middlesex,Saybrook,13
CT,NaN,NaN,3
CT,New Haven,Branford,2
CT,New Haven,Cheshire,2
CT,New Haven,Derby,8
CT,New Haven,East Haven,2
CT,New Haven,Guilford,11
CT,New Haven,Milford,11
CT,New Haven,New Haven,45
CT,New Haven,North Haven,1
CT,New Haven,Southbury,1
CT,New Haven,Wallingford,2
CT,New Haven,Waterbury,1
CT,New London,Bozrah,2
CT,New London,Colchester,17
CT,New London,Franklin,2
CT,New London,Groton,12
CT,New London,Lebanon,24
CT,New London,Lyme,28
CT,New London,Montville,5
CT,New London,New London,38
CT,New London,Norwich,46
CT,New London,Preston,9
CT,New London,Stonington,9
CT,New London,Volentown,2
CT,Tolland,Bolton,13
CT,Tolland,Coventry,9
CT,Tolland,Ellington,1
CT,Tolland,Hebron,10
CT,Tolland,Mansfield,7
CT,Tolland,Somers,1
CT,Tolland,Stamford,2
CT,Tolland,Tolland,4
CT,Tolland,Willington,2
CT,Windham,Ashford,6
CT,Windham,Brooklyn,3
CT,Windham,Canterbury,4
CT,Windham,Hampton,3
CT,Windham,Plainfield,4
CT,Windham,Pomfret,13
CT,Windham,Thompson,4
CT,Windham,Windham,13
CT,Windham,Woodstock,22
DE,Kent,NaN,1
DE,NaN,NaN,3
DE,New Castle,NaN,4
GA,Chatham,Savannah,11
GA,Effingham,NaN,2
GA,NaN,NaN,3
GA,Richmond,Augusta,2
GA,Richmond,NaN,1
MA,Barnstable,Falmouth,1
MA,Berkshire,Pittsfield,1
MA,Berkshire,Tyringham,2
MA,Bristol,Attleborough,10
MA,Bristol,Dighton,5
MA,Bristol,Freetown,2
MA,Bristol,Norton,2
MA,Bristol,Rehoboth,20
MA,Bristol,Somerset,1
MA,Bristol,Swansea,5
MA,Bristol,Westport,1
MA,Essex,Almsbury,2
MA,Essex,Andover,5
MA,Essex,Beverly,4
MA,Essex,Haverhill,5
MA,Essex,Ipswich,3
MA,Essex,Newbury Port,15
MA,Essex,Rowley,1
MA,Essex,Salem,2
MA,Hampshire,Chesterfield,1
MA,Hampshire,Granby,1
MA,Hampshire,Hadley,1
MA,Hampshire,Long Meadow,2
MA,Hampshire,Ludlow,1
MA,Hampshire,North Hampton,1
MA,Hampshire,Springfield,4
MA,Middlesex,Cambridge,6
MA,Middlesex,Littleton,1
MA,NaN,NaN,3
MA,Plymouth,Bridgewater,1
MA,Plymouth,Situate,1
MA,Suffolk,Boston,36
MA,Suffolk,Roxbury,2
MA,Suffolk,Stoughton,1
MA,Worcester,Dudley,1
MA,Worcester,Grafton,1
MA,Worcester,Liecester,1
MA,Worcester,Sturbridge MA,1
MA,Worcester,Sutton,2
MA,Worcester,Worcester,1
MA,York,Kittery,3
MD,Allegany,NaN,1
MD,Anne Arundel,Annapolis,199
MD,Anne Arundel,NaN,27
MD,Baltimore,Baltimore,69
MD,Baltimore,NaN,19
MD,Calvert,NaN,4
MD,Caroline,NaN,2
MD,Cecil,George,13
MD,Cecil,NaN,2
MD,Charles,NaN,11
MD,Dorchester,Cambridge,4
MD,Dorchester,NaN,8
MD,Frederick,Frederick,10
MD,Frederick,NaN,33
MD,Harford,NaN,16
MD,Kent,NaN,1
MD,Montgomery,NaN,20
MD,NaN,NaN,7
MD,Prince Georges,Bladensburg,2
MD,Prince Georges,NaN,38
MD,Queen Annes,NaN,4
MD,Somerset,NaN,5
MD,St Marys,NaN,10
MD,Talbot,NaN,4
MD,Washington,NaN,4
MD,Worcester,NaN,2
NC,Beaufort,Washington,1
NC,Chowan,Edenton,12
NC,Craven,Newbern,10
NC,Cumberland,Fayetteville,1
NC,Currituck,NaN,1
NC,Edgecombe,NaN,1
NC,Edgecombe,Tarborugh,1
NC,Halifax,Halifax,3
NC,Hertford,Murfrees Borough,2
NC,Mecklenburg,NaN,1
NC,NaN,NaN,6
NC,New Hanover,Wilmington,2
NC,Orange,Hillsborough,2
NC,Perquimans,NaN,1
NC,Pitt,NaN,1
NC,Rockingham,NaN,1
NC,Rowan,NaN,4
NC,Rowan,Salisbury,1
NC,Warren,NaN,2
NC,Wayne,NaN,1
NH,Cheshire,Acworth,1
NH,Cheshire,Charleston,3
NH,Cheshire,Keene,1
NH,Cheshire,Newport,1
NH,Grafton,Alexandria,2
NH,Grafton,Concord,7
NH,Hillsborough,Amherst,2
NH,Hillsborough,Hollis,1
NH,Hillsborough,Hopkinton,1
NH,Hillsborough,Merrimac,1
NH,Hillsborough,Newbury,3
NH,Hillsborough,Pelham,1
NH,Hillsborough,Pembroke,1
NH,Hillsborough,Salisbury,1
NH,NaN,NaN,1
NH,Rockingham,Brintwood,1
NH,Rockingham,Candia,1
NH,Rockingham,Canterbury,4
NH,Rockingham,Deerfield,1
NH,Rockingham,Exeter,29
NH,Rockingham,Greenland,1
NH,Rockingham,Hampton,7
NH,Rockingham,Kensington,4
NH,Rockingham,Kingstown,1
NH,Rockingham,London,3
NH,Rockingham,NaN,2
NH,Rockingham,New Castle,1
NH,Rockingham,Newtown,2
NH,Rockingham,Nottingham,1
NH,Rockingham,Portsmouth,64
NH,Rockingham,Rye,1
NH,Rockingham,Salem,3
NH,Strafford,Barrington,2
NH,Strafford,Dover,2
NH,Strafford,Durham,3
NH,Strafford,Gilmantown,2
NH,Strafford,Marbury,1
NH,Strafford,Sandwich,1
NH,Strafford,Somersworth,2
NH,Strafford,Tamworth,1
NH,Strafford,Wakefield,1
NH,York,Wells,1
NH,York,York,1
NJ,Burlington,Mount Holley,1
NJ,Cape May,Cape May,2
NJ,Hunterdon,NaN,1
NJ,Hunterdon,Trenton,2
NJ,Middlesex,Brunswick,2
NJ,Middlesex,Middlesex,1
NJ,Middlesex,Princeton,1
NJ,Monmouth,NaN,1
NJ,NaN,NaN,27
NJ,Somerset,NaN,1
NJ,Sussex,Newton ship,1
NY,Albany,Albany,1
NY,NaN,NaN,115
NY,New York,City of New York,4
PA,Allegheny,NaN,3
PA,Allegheny,Pittsburgh,4
PA,Bedford,NaN,1
PA,Berks,NaN,13
PA,Berks,Reading,9
PA,Berks,Reading Berks,8
PA,Berks,Tulpehocken,2
PA,Bucks,NaN,27
PA,Chester,NaN,28
PA,Cumberland,Carlisle,7
PA,Cumberland,Cumb,1
PA,Cumberland,Germantown,5
PA,Dauphin,Dauphin,1
PA,Dauphin,Dauphincoy,1
PA,Dauphin,NaN,7
PA,Delaware,NaN,4
PA,Fayette,NaN,2
PA,Franklin,Chambersburgh,1
PA,Franklin,NaN,7
PA,Lancaster,Lancaster,27
PA,Lancaster,NaN,11
PA,Montgomery,NaN,11
PA,NaN,NaN,1
PA,Northampton,Bethlehem,5
PA,Northampton,NaN,5
PA,Northumberland,Armstrong,1
PA,Northumberland,Montgomery,1
PA,Northumberland,NaN,11
PA,Northumberland,Sunbury,1
PA,Philadelphia,Blockley,1
PA,Philadelphia,Borden,3
PA,Philadelphia,Burlington New Jersey,1
PA,Philadelphia,Germantown,1
PA,Philadelphia,Kensington,1
PA,Philadelphia,NaN,25
PA,Philadelphia,Northern Liberties,6
PA,Philadelphia,Passyunk,1
PA,Philadelphia,Philadelphia,657
PA,Philadelphia,Southwark,1
PA,Philadelphia,The Northern Libert,1
PA,Washington,NaN,1
PA,Westmoreland,Kensington,1
PA,Westmoreland,NaN,5
PA,Westmoreland,Westmoreland,1
PA,York,NaN,11
PA,York,York,10
RI,Bristol,Barrington,12
RI,Bristol,Bristol,10
RI,Bristol,Warren,19
RI,Kent,Coventry,6
RI,Kent,East Greenwich,14
RI,Kent,Warwick,22
RI,Kent,West Greenwich,12
RI,NaN,NaN,7
RI,Newport,Little Compton,12
RI,Newport,Newport,100
RI,Newport,Portsmouth,4
RI,Newport,Tiverton,19
RI,Providence,Cranston,24
RI,Providence,Cumberland,7
RI,Providence,Foster,3
RI,Providence,Gloucester,6
RI,Providence,Johnson,4
RI,Providence,Johnston,7
RI,Providence,North Providence,12
RI,Providence,Providence,290
RI,Providence,Scituate,24
RI,Providence,Smithfield,10
RI,Washington,Charlestown,10
RI,Washington,Exeter,9
RI,Washington,North Kingston,9
RI,Washington,Richmond,4
RI,Washington,South Kingston,8
SC,Beaufort,St Helena,1
SC,Charleston,Charleston,312
SC,Charleston,Dorchester,1
SC,Charleston,James Island,1
SC,Georgetown,Georgetown,2
SC,Lancaster,Camden,3
SC,NaN,NaN,13
SC,Pendleton,NaN,1
VA,Accomack,NaN,1
VA,Fairfax,Alexandria,2
VA,Hampshire,Petersburg,2
VA,Henrico,Richmond,4
VA,King George,NaN,1
VA,Loudoun,NaN,1
VA,Mecklenburg,NaN,1
VA,NaN,NaN,14
VA,Ohio,NaN,1
VA,Rockingham,Portsmouth,1
VA,Spotsylvania,Fredericksburg,1
VT,NaN,NaN,6
